ReviewID,Content,Score,Thumbs up,Username
" 71511c6e-2a25-4243-b30e-e2fa8b703132,:"," If I could give zero stars I would. I have not been able to do anything with my watch in over two months. Now that the time is springing forward, now even my time is wrong and I cant fix it. Its says its not connected but yet I still get phone calls but cant call, get notifications, change music or anything other than workouts,but even then I cant go back and look at them because the app has been broken.,",1,23, Stormy D
" 9c1b45d5-42a9-4c7b-bbe7-f1dd1d834910,:"," App no longer works. I could only get to an account information page. No longer able to get to any watch settings or information. I uninstalled the app and reinstalled, now it is completely broken. It starts to run through the app set up but then starts endlessly cycling through a loading page and nothing you can do at that point. One plus fix this now! My watch is now just an expensive basic wrist watch. Total waste.,",1,46, Tyler Klump
" e4e9b6d8-fb9c-4f98-8cb5-d23669dffd66,:"," App does not work unfortunately. In fact its super broken insofar that my watch cant update weather data, and I cant even view fitness records on my phone. Really hope they fix it, basically it just forces me in to the account settings menu and I cant leave it. Update I tried uninstalling and reinstalling and it broke it even more, it wont even connect to my watch and it just endlessly loops whenever I launch it I cant get to any menu.,",1,94, Jd Lancaster
" 953e86df-930d-466e-9a28-8cf2ba778fe1,:"," The app no longer does anything. It used to be able to modify watch settings and look at health data. Now it only shows your account info, red cable club, and zen mode. Where did everything go? This is absurd. Update#1 it turns out the app needed more permissions. Can you update the app to remind users what permissions it needs to run. I gave it all permissions and it finally started working. No thanks from the APP,",3,60, Philip Reed
" 41d8e2bc-bf4a-4420-8543-efb2acee4566,:"," I dont know what happened with the most recent update, but the app is now useless. It now longer connects to my phone or the watch. It now longer tracks anything. I tried uninstalling and reinstalling but that made it even worse. Now the app wont even open. It just crashes and freezes. I was enjoying the app before this, but now I just have to delete it.,",1,4, Nancy Zulmar
" 870e73c7-9097-496b-a120-df28af0e2d01,:"," UPDATE Its much better than previous updates, but still okay. Its not spectacular. The status icons for the watch are all messed up and not correct in the app. It would be nice to be able to customize the watch faces beyond what they give you as the selections are pretty lackluster. The app layout could use some work. Tweaking the metrics and temperature settings for example shouldnt be as buried as it is and actually should be adjustable on the watch itself. Lots of things to improve on.,",3,81, Shon Elliott
" d4ac9172-2adc-4e20-8b78-b1c7d00a6055,:"," The app at least connects to Fit, but the work out data doesnt. Nor does the stress, but I assumed that was blood pressure, however I cant for the life of me figure out what stress means on the physical level, or how they measure that metric. There also seems to be no options for how I wear the watch, which is on the left hand, but facing down while wrist is up, so all the awareness features seem like theyre never going to work at it stands. Also is there any way to submit/make watch faces?,",3,15, Memory Thief (MemoryThief)
" c368fdb7-3d46-42d6-810d-1962588e05a9,:"," Last update made the watch shows the music control every single time i raise my wrist to look at the clock. Google fitness doesnt work. - It would be great if double tap to wake will be available. - it would be awesome if replying to text messages is not limited to few words. If the company can fix/add those options, it would the perfect smart watch. Other than that, i like it.. great battery and it delivers everything i need, clock; timer ;workout mode; make and receive phone calls.,",3,58, Bassem Lehani
" 79394318-768e-4bfd-ae68-cac25cbbc4bd,:"," Abysmal. Most data isnt syncing between watch and app. Steps earned in a workout arent counted towards your overall step count. If you reboot the watch you lose all data for that day including steps, heart rate log, stress log, o2 lvls. Thats if you can get anything other than steps and sleep to sync at all. It was working a bit better before the last update, but pretty useless now.,",1,7, Phillip Harmon
" 370922a6-17d7-41ef-847d-3573f7791e0a,:"," The only good thing about this watch is its battery life, and that begins to suffer once you start actually using it for workouts. As for the app, its aesthetically appealing, but it suffers from not having many features. Im grateful that some of it syncs with Google Fit but its limited and I would prefer to just use the Google Fit app instead. Its good for collecting and keeping my data but I sometimes question the authenticity of how well the watch is even collecting data.,",3,26, Colton Burnette
" cf0a0319-b23b-422f-8ab1-1b192d459b25,:"," In general I am happy of my Oneplus Devices. I am a loyal user from OP1 to know. The health app though is rubbish. It does not work on Nord2 and OP11. The app does not launch from notification bar. The app closes itself even after following the settings for modifying various settings such as run in background. And there is no way to backup data for switching phones. Even between OnePlus devices...,",1,2, Steven Cheung
" 73a76df5-f9c2-444e-b9f0-b20e99dafbcf,:"," If I could give this app 0 stars, I would. I got the watch for the benefits as its SUPPOSED TO sync with the phone better than other android watches because its part of the company. Peek the capitalized SUPPOSED TO. This app has been broken for MONTHS now and there has been no for seen update to help fix whatever bug is going on. I cannot properly connect the watch to my phone anymore, rendering it USELESS beyond the basic time function. $160+ down the drain! Please fix this, OnePlus!!!!,",1,1, Mariah M
" 5827905c-04f9-4f9c-baa8-fded174919c7,:"," Good afternoon. The application does not start. After installation and 2 windows with security policies, then it crashes with the error Login in fail, try again later. Because of this, there is no way to connect One Plus Watch. Developers please fix the issue.,",1,3, Андрей Братищев
" e3d81505-f95f-4ce2-902b-234a3a2e6537,:"," This app has totally ruined my OnePlus Band. Not syncing data automatically. Can\t see heart rate, spo2 even after wearing it. If I manually measure they those data are showing. Also now I can\t even unpair it from the app. Showing Unpair Failed. Such a useless dev. What can we expect from a Chinese Company expect bloatwares and spywares.,",1,3, Sourav Satvaya
" 93b64278-ec9a-4b4d-9189-a6843b037ce9,:"," This application needs a new update. Though I am not using 13os still this app hangs in between of loading. I have method mentioned still not working. Also tried a couple times to uninstall and reinstall it and restart my phone but nothing helped. This app has some serious issues because before uninstalling it I tried to unpair my band but it was unable to do it due some technical issues. Hope so someone reads this from developing team. This application really gave me pain in my neck.,",1,0, Suyog Chavan
" c76e7922-ce5b-4a05-9bb5-43b1a89c440f,:"," Application terminates on its own. When I open it, it says login in failed, please try again and then shuts down on its own. I deleted the app\s data, reinstalled it, and restarted the phone, but it was ineffective. In Oxygen OS - Android 13 Phone, I can observe the problem. It is quite unfortunate that a being a oneplus application it is causing a problem for owners of oneplus phones.  I\ve made the decision to no longer use or purchase Oneplus wearables  Thank you oneplus ),",1,1, Rinith Amin
" 89b3f069-fd2b-4f2f-8cc6-d3e52a43e82b,:"," Would not allow me to control music as the permissions for the OnePlus notifications was locked as off saying due to security reasons. I tried uninstalling and reinstalling. Now, it\s completely useless to me. I get a black screen with the oneplus health logo on the bottom. Before that flickering between the app and the black screen. If I go into permissions what music it says  This app doesn\t support the latest version of Android. If this app can access music and audio files,",1,8, Cat G
" d4cccbc3-2304-45d5-8d0a-9c5d77ff09d5,:"," This app has not worked properly since November if not before. The watch I bought form OnePlus is then absolutely useless as the app does not work. The watch was over 100 euros and the phone itself is not cheap and the least we can expect are working apps. I contacted the support and not only did they answer over a week later, they told me that because THEY took so long to answer, I needed to re engage the support if the issue was still on. Not buying OnePlus anymore.,",1,3, Adélaïde
" e5dee911-8f15-4a37-a3ae-ea806495d097,:"," Stopped working 😔 After recent update the app stopped working. Cannot log in to app at all. It is refreshing screen and not doing anything. The watch stopped connecting to the phone. So both app and watch are useless as no notifications are pushed to the watch. Cannot answer call. 👎,",1,0, Helena Zalewska
" 7a0aea75-9b90-4b5a-817c-aca9db94a910,:"," The app wont work anymore and leave the watch in the paring state. USE A OLD VERSION ON THE APP (GOOGLE). Please add STATIC drop down list for weather location. This is a feature in 99% of apps, and WAY more reliable that phone location. Anyway, phone location is most of the time bad because VPN. Tks. This kind of software coding with few bugs ( see your own forum) makes apple fan boii laugh about our android product. Kind of a shame in 2021, those issue I had them on android froyo in 2009...,",2,0, joe ph
" 3bc6e33c-7461-49bf-a7d0-16e5ced4b052,:"," This app is useless. As others have said, all I get is an account page. It shows none of the screens shown in the description. So I have to rely on the actual watch. I wanted to do sleep tracking, but the watch seems to only record sleep that happens between 2000 - 07",1,1, Bruce Sommer
" 8fb22cb0-d6dc-40e6-b7ee-c14cd4760b7f,:"," Got the new OnePlus 11 and the One Plus Health app doesnt work. After installing it and launching it, it gets stuck in a loop; uninstalled and reinstalled and still couldnt get it to work. The watch was useless today as the app wouldnt launch enough to connect. My Samsung watch works fine though!,",1,1, Eric E
" c10c5b83-7132-4b7a-a399-c1f217096df9,:"," Its been a few months since the app stopped working and the watch is useless without the app, cant connect and see my workouts. Very disappointed with the service and its been this was from a very long time and theres no response from the support team as well.,",1,1, Kiran L Reddy
" e7f023e6-fc50-4ae2-9c33-d1164a82949a,:"," No longer able to connect to watch. Watch did not sync with phone time after daylight savings time. Reset watch to factory and now when trying to re pair the watch, the app refuses to set up the watch and it keeps saying failed to sync to phone time now my watch is unusable. Thanks OnePlus,",1,2, Bigtymeplayer 85
" 5194c338-3582-43e5-9705-9f84dd477862,:"," Very disappointed with OnePlus now... I have been a fan of OnePlus, have owned OnePlus 3T, 6 and currently using 9 Pro, watch, earbuds n wireless charger, I even recommended a few friends to get OnePlus. I bought the watch together with 9 Pro. But this watch isnt a smart watch anymore Cant sync or receive notification or fitness details. Have been waiting for updates for over 6 months, even after emailing OnePlus which they take ages to replay as well. Looking like its time to change.,",1,1, Daniel Toh
" ff37c8a7-48e6-41b0-ac2a-ed13afbe07f0,:"," My phone updated to android 13 and the app refused to work since. It wont let me access the main menu and it just opens and closes itself since I reinstalled it without any access. Currently the app is absolutely useless with android 13. It was fine before but unusable now.,",1,2," ""Paul OBrien"""
